0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:51 +0900] "GET /personalProject/amado/img/bg-img/cart2.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:51 +0900] "GET /personalProject/amado/img/bg-img/cart3.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:52 +0900] "GET /personalProject/amado/pages/checkout.jsp HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:52 +0900] "GET /personalProject/amado/pages/img/core-img/paypal.png HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:54 +0900] "GET /personalProject/amado/pages/index.jsp HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/shop.jsp HTTP/1.1" 200 23594
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/img/product-img/product1.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/img/product-img/product2.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/img/product-img/product3.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/img/core-img/cart.png HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/img/product-img/product4.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/img/product-img/product5.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2019:14:01:56 +0900] "GET /personalProject/amado/pages/img/product-img/product6.jpg HTTP/1.1" 404 1150
